star,client,source,company,ville,ecart,reponse_absente,reponse_negative,reponse_positive,date_annee,date_mois,date_jour,Commentaires_reduit
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.6333333333333333,"bonjour ca doit  ans environ membre showrooprive jamais soucis particulier part / petites bricoles…par contre depuis  derniers mois vraie catastrophe  commandes annulées affiliés… demander si ventes bien réelles histoires payer showroom « joue » argent faisant intérêts bancaires dos  ère commande « machines cafés » ,€… annulé  mois après …la e commande « don call jennifer » ,€… annulé  mois après …la e commande « techwood » ,€… annulé  mois après….je apprends mail…le message « bateau » « malgré tous efforts… bla-bla-bla bien évidemment dédommagement ben non hein pourquoi doute site aussi fiable sérieux début final vais juste rester fidèle autre site marchand décevant … plus confiance recommande plus site fais part entourage réseaux sociaux afin éviter autres personnes connaissent type expérience "
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.6333333333333333,vente lacoste article manquant photo prise  articles moitié livrée sans explication manque respect.numero commande  
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.6,vente lacoste honteuse article erroné article manquant bon livraison retard service client désastreux.après deux appels désastreux tenais avertir plus courageux oseront commander contacter service client showroom pire pire attentions oreilles interlocuteur parle environnement bruyant type chantier coup marteaux jet matériaux proximité micro demandez cesser nuisance répond non entendent bien erreur commande interlocuteur crois faut envoyer captures écran commande convaincre font bien importe quoi.la commande arrive plusieurs vente retard article manquant bon livraison comprendre quoi sait impossible obtenir suivi livraison détails articles manquants.un article annulé showroom plus stock proposé vente commande n° commande n• ca beaucoup coup inadmissible.fuyez 
2,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.6,commandé mules marque moosefield déçue produit étiquette collée mules tâche produit moyen 
1,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.6,commande téléphone etat a+ livraison vieux téléphone pourri sans batterie rayé partout inaudible super affaire  euros poubelle merci showroomprivee passez chemin nuls contrôlent proposent vente 
1,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.6,commande passée vente lacoste livraison  après date prévue déjà  semaines après l'achat  produits  manquants pro sérieux aucun geste commercial hormis remboursement promis  articles manquants 
1,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.5666666666666667,annulation commande après  mois attente geste sans explication retard livraison report  reprise résultat incompréhensible inadmissible recommande site mieux vaut aller vente privée attend commande 
1,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.5666666666666667,extrêmement déçue vente apple achat iphone reconditionné grade a+ fournisseur prs phone recycle fonctionné  jours sav lamentable jusqu  jours répondre question prise charge frais retour réparation sav showroom lit mails diagonale répond côté lamentable téléphone encore récupéré dernier achat 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,extrêmement deçu achats lors vente dolores promesas reçu vetements sales déja utilisées 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,s'il y'avait option mettre d'étoile étoile trop contente passé commande mi-avril là mi-juin l'ai reçu part réponde commandé articles jennyfer via site marqué colis expédié via mondial relay depuis plus numéro suivi 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,"arnaque acheté combinaison blanche € lieu disant € reçu + mois après traces noires bas combi surtout super transparente bref impossible mettre sous vêtements couleur chair grosse arnaque inadmissible vais renvoyer ,€ frais charges espérant être remboursée conseille showroom privé "
2,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,bonjour commande showroom n°  point relais défini cette commande déviée point d'origine plus km bon vouloir transporteur réponse showroom n'allez chercher remboursera quelle l'interré commander d'attendre plus d'un mois remboursement amazon l'ecoute respect client priorité.merci prendre exemple 
2,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,commander problème retours compliqué l'article défectueux.les conseillers n'écoutent répétent pareils déçue hésiterais désormais commander site.surtout j'attends aussi commande lacoste prévue fête pères encore repoussée commande passée  mai je trouve peu exagéré délai 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667, robes achetées showroom privées fille fille dit qu'il trou regarde coup deux robes toutes deux défectueuses trou niveau couture l'une maille sortie l'autre retourne colis prenant peine mettre post it là où robes abimées renvoie colis retour gratuit plusieurs jours après reçois mail showroom disant remboursement effectué sauf m'ont enlevé .€ frais retour inadmissible n'est payer leurs robes défectueuses impossible réclamation service client depuis h message d'erreur m'empêche hasard valide réclamation marche lâche veux être remboursée pris photos 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5666666666666667,voleurs showroomprivé vend ipad reconditionnés mauvais état rejettent faute leurs fournisseurs laisse démerder disant doivent appeler j'attends depuis janvier sara service client comprends explication renseignement voici numéro      veepee problèmes sérieux 
1,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5333333333333333,bande incapable savent expédier colis malheur demander parvenir possible rembourse sans excuses ni geste commercial satisfaction client priorité 
2,1,0,0,0,0.06993006993006994,1,0,0,1.0,0.4545454545454545,0.5333333333333333,achete pergola shorom vendu sourcidys tours paye  € frais livraison .il  colis reçu  manque  ème contient pieds depuis  juin nouvelles société répond ni ni shorom .du coup impossible monter paye  euros ..... site banir.shorom suite pris réclamation compte bouge 
1,1,0,0,0,0.06993006993006994,0,1,0,1.0,0.4545454545454545,0.5333333333333333,colis arriver abimé meuble hannah home finition bas gamme déçu.envie renvoyer colis demande retour demander  juin  voila j'attend l'étiquettes retour service client téléphone non efficace juste répondre appels problème non résolue jour.je laisserais avis favorable retour showroomprive 
